GUID: 113190, Type: ItemWithUI, Rarity: Rare, Name: Map of a Coral Garden, Probability: 0,38461538461538464 
GUID: 191754, Type: TownhallItem, Rarity: Rare, Name: Coal Burner Advertisement, Probability: 0,5128205128205129 
GUID: 191816, Type: TownhallItem, Rarity: Rare, Name: Contraception Regulation, Probability: 0,5128205128205129 
GUID: 191760, Type: TownhallItem, Rarity: Rare, Name: Demonstration Ban, Probability: 0,5128205128205129 
GUID: 191694, Type: TownhallItem, Rarity: Rare, Name: Early Closure Act, Probability: 0,5128205128205129 
GUID: 191718, Type: TownhallItem, Rarity: Rare, Name: Evening Curfew, Probability: 0,5128205128205129 
GUID: 191736, Type: TownhallItem, Rarity: Rare, Name: Exchange Rate Increase, Probability: 0,5128205128205129 
GUID: 191792, Type: TownhallItem, Rarity: Rare, Name: Excommunication Act, Probability: 0,5128205128205129 
GUID: 191724, Type: TownhallItem, Rarity: Rare, Name: High Fees Law, Probability: 0,5128205128205129 
GUID: 191748, Type: TownhallItem, Rarity: Rare, Name: Lax Water Treatment Law, Probability: 0,5128205128205129 
GUID: 191795, Type: TownhallItem, Rarity: Rare, Name: Major Income Tax Amendment, Probability: 0,5128205128205129 
GUID: 191763, Type: TownhallItem, Rarity: Rare, Name: Minimum Working Age 6 Act, Probability: 0,5128205128205129 
GUID: 191784, Type: TownhallItem, Rarity: Rare, Name: Moderate Alcohol Tax, Probability: 0,5128205128205129 
GUID: 191778, Type: TownhallItem, Rarity: Rare, Name: Moderation Act, Probability: 0,5128205128205129 
GUID: 191822, Type: TownhallItem, Rarity: Rare, Name: On the Inferior Nature of Women, Probability: 0,5128205128205129 
GUID: 191730, Type: TownhallItem, Rarity: Rare, Name: Spartan Schooling Charter, Probability: 0,5128205128205129 
GUID: 191804, Type: TownhallItem, Rarity: Rare, Name: Statutory Twelve Hour Day Act, Probability: 0,5128205128205129 
GUID: 191772, Type: TownhallItem, Rarity: Rare, Name: Taboo Books Act, Probability: 0,5128205128205129 
GUID: 191761, Type: TownhallItem, Rarity: Epic, Name: A Mighty Martial Law Declaration, Probability: 0,29411764705882354 
GUID: 191719, Type: TownhallItem, Rarity: Epic, Name: Archbishop Stipwick's Stiff-Lipped Curfew, Probability: 0,29411764705882354 
GUID: 191725, Type: TownhallItem, Rarity: Epic, Name: Bertie Pinkie-Toff's Edict of Elitism, Probability: 0,29411764705882354 
GUID: 191755, Type: TownhallItem, Rarity: Epic, Name: Caprice Ltd, The Monopoly On Local Construction, Probability: 0,29411764705882354 
GUID: 191695, Type: TownhallItem, Rarity: Epic, Name: Eagerly's Every-Fifth-Day-a-Half-Day Act, Probability: 0,29411764705882354 
GUID: 191743, Type: TownhallItem, Rarity: Epic, Name: Hieromonk Bede's Cheeky Little Tithe Law, Probability: 0,29411764705882354 
GUID: 191731, Type: TownhallItem, Rarity: Epic, Name: Lady Cerebellum's Ickle Bickle Classrooms Charter, Probability: 0,29411764705882354 
GUID: 191823, Type: TownhallItem, Rarity: Epic, Name: Lady Hunt's Advice on Being A Patient Spouse, Probability: 0,29411764705882354 
GUID: 191773, Type: TownhallItem, Rarity: Epic, Name: Lady Hunt's Order of Silence, Probability: 0,29411764705882354 
GUID: 191737, Type: TownhallItem, Rarity: Epic, Name: Lord Stringer's Stringent Usury Laws, Probability: 0,29411764705882354 
GUID: 191785, Type: TownhallItem, Rarity: Epic, Name: Lord Wainthrop's Booze Taxationations Most Severe!, Probability: 0,29411764705882354 
GUID: 191793, Type: TownhallItem, Rarity: Epic, Name: Lucius' Long-Lost Doctrine of the Faith, Probability: 0,29411764705882354 
GUID: 191805, Type: TownhallItem, Rarity: Epic, Name: Malching's Back-to-Back Itinerary for Serfs, Probability: 0,29411764705882354 
GUID: 191796, Type: TownhallItem, Rarity: Epic, Name: Miserable Max's Brutal Tax Legislation, Probability: 0,29411764705882354 
GUID: 191749, Type: TownhallItem, Rarity: Epic, Name: Mrs. Beetle's Repulsive Law on Pestilence, Probability: 0,29411764705882354 
GUID: 191779, Type: TownhallItem, Rarity: Epic, Name: Ms. Amelia's Essential Prohibition Measures, Probability: 0,29411764705882354 
GUID: 191817, Type: TownhallItem, Rarity: Epic, Name: Papal Paper of Prenatal Preservation, Probability: 0,29411764705882354 
GUID: 191764, Type: TownhallItem, Rarity: Epic, Name: Von Malching's Minimum Working Age 4 Proposal, Probability: 0,29411764705882354 
GUID: 191675, Type: GuildhouseItem, Rarity: Uncommon, Name: Certificate of Inspection, Probability: 0,8571428571428571 
GUID: 191684, Type: GuildhouseItem, Rarity: Uncommon, Name: Coal Permit, Probability: 0,8571428571428571 
GUID: 190847, Type: GuildhouseItem, Rarity: Uncommon, Name: Mercury Thermometer, Probability: 0,8571428571428572 
GUID: 190866, Type: GuildhouseItem, Rarity: Uncommon, Name: Vitamin Supplements, Probability: 0,8571428571428572 
GUID: 190862, Type: GuildhouseItem, Rarity: Uncommon, Name: Wood Ash, Probability: 0,8571428571428572 
GUID: 191676, Type: GuildhouseItem, Rarity: Rare, Name: Certificate of Industrial Standard, Probability: 0,5128205128205129 
GUID: 190863, Type: GuildhouseItem, Rarity: Rare, Name: Chemical Fertiliser, Probability: 0,5128205128205129 
GUID: 191685, Type: GuildhouseItem, Rarity: Rare, Name: Heavy Coal Permit, Probability: 0,5128205128205129 
GUID: 190848, Type: GuildhouseItem, Rarity: Rare, Name: Melting Point Apparatus, Probability: 0,5128205128205129 
GUID: 190867, Type: GuildhouseItem, Rarity: Rare, Name: Veterinary Antibiotics, Probability: 0,5128205128205129 
GUID: 190868, Type: GuildhouseItem, Rarity: Epic, Name: Angelic Anthrax Vaccine, Probability: 0,29411764705882354 
GUID: 191686, Type: GuildhouseItem, Rarity: Epic, Name: Lord Footprint's Gargantuan Smokestack Act, Probability: 0,29411764705882354 
GUID: 190864, Type: GuildhouseItem, Rarity: Epic, Name: Superphosphate Fertiliser, Probability: 0,29411764705882354 
GUID: 190849, Type: GuildhouseItem, Rarity: Epic, Name: Thielemann's Tube, Probability: 0,29411764705882354 
GUID: 191677, Type: GuildhouseItem, Rarity: Epic, Name: Von Malching's Labour Law Proposal, Probability: 0,29411764705882354 
GUID: 114540, Type: CultureItem, Rarity: Common, Name: Bilberry, Probability: 2 
GUID: 114539, Type: CultureItem, Rarity: Common, Name: Dandelion, Probability: 2 
GUID: 114541, Type: CultureItem, Rarity: Common, Name: Elderberry, Probability: 2 
GUID: 114538, Type: CultureItem, Rarity: Common, Name: Foxglove, Probability: 2 
GUID: 114543, Type: CultureItem, Rarity: Common, Name: Hemp, Probability: 2 
GUID: 114542, Type: CultureItem, Rarity: Common, Name: Peppermint, Probability: 2 
GUID: 114661, Type: CultureItem, Rarity: Common, Name: Poppy, Probability: 2 
GUID: 114662, Type: CultureItem, Rarity: Uncommon, Name: Meadow Sage, Probability: 0,8571428571428572 
GUID: 111116, Type: CultureItem, Rarity: Uncommon, Name: Purple Saxifrage, Probability: 0,8571428571428572 
GUID: 114670, Type: CultureItem, Rarity: Uncommon, Name: Sea Thrift, Probability: 0,8571428571428572 
GUID: 114656, Type: CultureItem, Rarity: Uncommon, Name: Sea-lavender, Probability: 0,8571428571428572 
GUID: 114389, Type: CultureItem, Rarity: Uncommon, Name: Tulsi, Probability: 0,8571428571428572 
GUID: 111111, Type: CultureItem, Rarity: Uncommon, Name: Water Lily, Probability: 0,8571428571428572 
GUID: 114669, Type: CultureItem, Rarity: Rare, Name: Jerusalem Sage, Probability: 0,5128205128205128 
GUID: 114665, Type: CultureItem, Rarity: Rare, Name: Moon Orchid, Probability: 0,5128205128205128 
GUID: 114381, Type: CultureItem, Rarity: Rare, Name: Purple Pitcher Plant, Probability: 0,5128205128205128 
GUID: 111110, Type: CultureItem, Rarity: Rare, Name: Yellow Lotus, Probability: 0,5128205128205128 
GUID: 112611, Type: CultureItem, Rarity: Epic, Name: Perry's Giant Sunburst, Probability: 0,29411764705882354 
GUID: 114679, Type: CultureItem, Rarity: Legendary, Name: The Hades Asphodel, Probability: 0,7142857142857143 
GUID: 111117, Type: CultureItem, Rarity: Legendary, Name: The Jujube Lotus, Probability: 0,7142857142857143 
